id_accident;mois;code_dep;code_com;luminosite;agglo;nb_indemnes;nb_blesses_hospi;nb_blesses_legers;nb_tues;nb_impliques
201800000001; 1;59;59005;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000002; 2;59;59011;Jour;En agglomération; 1; 0; 1;0; 2
201800000003; 3;59;59477;Jour;En agglomération; 1; 1; 0;0; 2
201800000004; 5;59;59052;Jour;En agglomération; 1; 1; 0;0; 2
201800000005; 6;59;59477;Jour;En agglomération; 1; 0; 1;0; 2
201800000006; 9;59;59052;Aube/Crépuscule;En agglomération; 2; 1; 1;0; 4
201800000007; 9;59;59133;Nuit avec éclairage;En agglomération; 0; 1; 0;0; 1
201800000008;11;59;59011;Nuit avec éclairage;En agglomération; 1; 0; 0;1; 2
201800000009; 2;59;59550;Jour;Hors agglomération; 0; 0; 1;0; 1
201800000010; 3;59;59051;Jour;En agglomération; 1; 1; 0;0; 2
201800000011; 5;59;59051;Jour;En agglomération; 1; 1; 0;0; 2
201800000012; 5;59;59250;Nuit avec éclairage;Hors agglomération; 0; 4; 0;0; 4
201800000013; 6;59;59257;Jour;Hors agglomération; 2; 1; 0;0; 3
201800000014; 7;59;59051;Jour;En agglomération; 1; 1; 0;0; 2
201800000015;10;59;59303;Nuit sans éclairage;Hors agglomération; 0; 1; 0;0; 1
201800000016; 1;59;59398;Aube/Crépuscule;En agglomération; 1; 0; 1;0; 2
201800000017; 2;59;59129;Jour;En agglomération; 0; 1; 0;0; 1
201800000018; 4;59;59071;Jour;En agglomération; 1; 1; 0;0; 2
201800000019; 4;59;59197;Jour;Hors agglomération; 1; 2; 0;0; 3
201800000020; 5;59;59586;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000021; 6;59;59034;Jour;En agglomération; 1; 1; 0;0; 2
201800000022; 7;59;59398;Jour;En agglomération; 1; 1; 0;0; 2
201800000023;10;59;59197;Aube/Crépuscule;Hors agglomération; 1; 1; 0;0; 2
201800000024;12;59;59586;Jour;En agglomération; 1; 0; 1;0; 2
201800000025; 2;59;59452;Jour;En agglomération; 0; 0; 0;1; 1
201800000026; 4;59;59411;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000027; 3;59;59087;Jour;Hors agglomération; 2; 1; 0;0; 3
201800000028; 6;59;59084;Jour;En agglomération; 0; 1; 0;0; 1
201800000029; 9;59;59184;Jour;Hors agglomération; 2; 0; 0;1; 3
201800000030; 1;59;59535;Nuit avec éclairage;En agglomération; 1; 0; 1;0; 2
201800000031; 2;59;59401;Nuit sans éclairage;Hors agglomération; 0; 0; 0;1; 1
201800000032; 5;59;59401;Jour;En agglomération; 1; 0; 0;1; 2
201800000033; 7;59;59401;Jour;Hors agglomération; 2; 1; 0;0; 3
201800000034; 2;59;59268;Aube/Crépuscule;Hors agglomération; 0; 1; 1;0; 2
201800000035; 3;59;59581;Nuit sans éclairage;Hors agglomération; 0; 1; 0;0; 1
201800000036; 5;59;59268;Jour;En agglomération; 1; 1; 0;0; 2
201800000037; 7;59;59581;Jour;Hors agglomération; 2; 2; 1;0; 5
201800000038; 9;59;59268;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000039;10;59;59268;Nuit sans éclairage;Hors agglomération; 1; 0; 1;0; 2
201800000040;10;59;59581;Jour;En agglomération; 2; 1; 0;0; 3
201800000041;11;59;59268;Jour;En agglomération; 1; 1; 0;0; 2
201800000042; 1;59;59400;Jour;En agglomération; 0; 1; 0;0; 1
201800000043; 7;59;59293;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000044; 9;59;59400;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000045;10;59;59400;Nuit avec éclairage;Hors agglomération; 0; 2; 0;0; 2
201800000046;10;59;59400;Nuit avec éclairage;Hors agglomération; 2; 1; 0;0; 3
201800000047; 2;59;59660;Jour;En agglomération; 1; 0; 0;1; 2
201800000048;11;59;59044;Jour;Hors agglomération; 2; 0; 1;0; 3
201800000049; 1;59;59523;Jour;En agglomération; 1; 0; 1;0; 2
201800000050; 3;59;59106;Jour;En agglomération; 1; 0; 1;0; 2
201800000051; 8;59;59042;Jour;En agglomération; 1; 0; 0;1; 2
201800000052; 8;59;59168;Jour;En agglomération; 1; 1; 0;0; 2
201800000053; 9;59;59106;Jour;Hors agglomération; 1; 0; 1;0; 2
201800000054;10;59;59168;Jour;En agglomération; 1; 1; 0;0; 2
201800000055;10;59;59258;Jour;En agglomération; 1; 0; 1;0; 2
201800000056; 4;59;59252;Jour;Hors agglomération; 1; 1; 0;0; 2
201800000057; 6;59;59482;Aube/Crépuscule;Hors agglomération; 0; 1; 1;0; 2
201800000058;10;59;59252;Aube/Crépuscule;Hors agglomération; 0; 0; 2;0; 2
201800000059;11;59;59611;Nuit avec éclairage;Hors agglomération; 1; 1; 0;0; 2
