code_dep;pop_tot
01; 659180
02; 546527
03; 347035
04; 168381
05; 145883
06;1097496
07; 334688
08; 280032
09; 157210
10; 317118
11; 379094
12; 289488
13;2048504
14; 708344
15; 150185
16; 361539
17; 659968
18; 311456
19; 249135
2A; 159768
2B; 180465
21; 545798
22; 617107
23; 122133
24; 424095
25; 552643
26; 524574
27; 614926
28; 443538
29; 933992
30; 757764
31;1385122
32; 197953
33;1607545
34;1162867
35;1084554
36; 227999
37; 618820
38;1283384
39; 269344
40; 419709
41; 340499
42; 777328
43; 234190
44;1423152
45; 692540
46; 179556
47; 341270
48;  80240
49; 833154
50; 512923
51; 580671
52; 180753
53; 316750
54; 745300
55; 192588
56; 771911
57;1062217
58; 212742
59;2635255
60; 841948
61; 291557
62;1489983
63; 668301
64; 695965
65; 234591
66; 482368
67;1141511
68; 777917
69;1869599
70; 243264
71; 569531
72; 579650
73; 443787
74; 828417
75;2204773
76;1275559
77;1420469
78;1463091
79; 384479
80; 582464
81; 398412
82; 264130
83;1075653
84; 570762
85; 693455
86; 447150
87; 381379
88; 378986
89; 346902
90; 145640
91;1310599
92;1625917
93;1630133
94;1397035
95;1239262
971; 396153
972; 377711
973; 271124
974; 863063
